,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5436,5183,95.345842531273,27.177282271772825
"[0.8,0.9)",2853,2480,86.92604276200491,14.263573642635736
"[0.7,0.8)",2030,1544,76.05911330049261,10.148985101489851
"[0.6,0.7)",1776,1177,66.27252252252252,8.879112088791121
"[0.5,0.6)",1271,738,58.06451612903226,6.354364563543646
"[0.4,0.5)",789,384,48.669201520912544,3.9446055394460555
"[0.3,0.4)",396,162,40.909090909090914,1.9798020197980202
"[0.2,0.3)",139,42,30.215827338129497,0.694930506949305
"[0.1,0.2)",52,13,25.0,0.25997400259974
"(0.0,0.1)",34,12,35.294117647058826,0.16998300169983002
0,5226,2933,56.12323000382702,26.12738726127387
Total,20002,14668,73.33266673332666,100.0
