,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5685,5333,93.80826737027265,28.42215778422158
"[0.8,0.9)",1854,1554,83.81877022653723,9.269073092690732
"[0.7,0.8)",1327,1013,76.33760361718161,6.634336566343365
"[0.6,0.7)",1105,741,67.05882352941175,5.524447555244476
"[0.5,0.6)",880,501,56.93181818181819,4.3995600439956
"[0.4,0.5)",551,269,48.82032667876588,2.7547245275472454
"[0.3,0.4)",275,115,41.81818181818181,1.3748625137486252
"[0.2,0.3)",97,36,37.11340206185567,0.484951504849515
"[0.1,0.2)",44,15,34.090909090909086,0.21997800219978003
"(0.0,0.1)",17,6,35.294117647058826,0.08499150084991501
0,8167,5085,62.26276478511081,40.83091690830917
Total,20002,14668,73.33266673332666,100.0
