,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5560,5270,94.7841726618705,27.7972202779722
"[0.8,0.9)",2583,2220,85.94657375145181,12.913708629137085
"[0.7,0.8)",1867,1426,76.37921799678628,9.334066593340665
"[0.6,0.7)",1542,1048,67.96368352788586,7.70922907709229
"[0.5,0.6)",1148,659,57.40418118466899,5.739426057394261
"[0.4,0.5)",717,357,49.7907949790795,3.584641535846415
"[0.3,0.4)",355,146,41.12676056338028,1.774822517748225
"[0.2,0.3)",136,42,30.88235294117647,0.6799320067993201
"[0.1,0.2)",55,19,34.54545454545455,0.274972502749725
"(0.0,0.1)",31,10,32.25806451612903,0.15498450154984503
0,6008,3471,57.77296937416777,30.03699630036996
Total,20002,14668,73.33266673332666,100.0
