,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5431,5201,95.76505247652366,27.78005115089514
"[0.8,0.9)",2862,2490,87.0020964360587,14.639386189258314
"[0.7,0.8)",2039,1560,76.50809220205983,10.429667519181587
"[0.6,0.7)",1748,1182,67.62013729977116,8.941176470588236
"[0.5,0.6)",1308,767,58.63914373088684,6.6905370843989775
"[0.4,0.5)",795,395,49.685534591194966,4.0664961636828645
"[0.3,0.4)",390,151,38.71794871794872,1.9948849104859334
"[0.2,0.3)",160,51,31.874999999999996,0.8184143222506393
"[0.1,0.2)",58,12,20.689655172413794,0.2966751918158568
"(0.0,0.1)",34,10,29.411764705882355,0.17391304347826086
0,4725,2698,57.100529100529094,24.168797953964194
Total,19550,14517,74.25575447570333,100.0
