,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5487,5236,95.42555130308,28.066496163682864
"[0.8,0.9)",2571,2216,86.19214313496694,13.15089514066496
"[0.7,0.8)",1838,1416,77.04026115342764,9.40153452685422
"[0.6,0.7)",1526,1041,68.2175622542595,7.805626598465473
"[0.5,0.6)",1185,701,59.15611814345991,6.061381074168798
"[0.4,0.5)",743,359,48.31763122476447,3.800511508951407
"[0.3,0.4)",343,135,39.35860058309038,1.7544757033248082
"[0.2,0.3)",151,51,33.77483443708609,0.7723785166240409
"[0.1,0.2)",46,15,32.608695652173914,0.2352941176470588
"(0.0,0.1)",40,13,32.5,0.20460358056265981
0,5620,3334,59.3238434163701,28.746803069053705
Total,19550,14517,74.25575447570333,100.0
