,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5428,5182,95.46794399410464,27.58130081300813
"[0.8,0.9)",2869,2489,86.75496688741721,14.578252032520325
"[0.7,0.8)",2052,1569,76.46198830409357,10.426829268292682
"[0.6,0.7)",1743,1178,67.58462421113023,8.85670731707317
"[0.5,0.6)",1302,757,58.14132104454686,6.615853658536586
"[0.4,0.5)",774,382,49.35400516795866,3.932926829268293
"[0.3,0.4)",377,150,39.787798408488065,1.9156504065040652
"[0.2,0.3)",147,48,32.6530612244898,0.7469512195121951
"[0.1,0.2)",47,9,19.148936170212767,0.2388211382113821
"(0.0,0.1)",28,9,32.142857142857146,0.14227642276422764
0,4913,2817,57.33767555465092,24.964430894308943
Total,19680,14590,74.13617886178862,100.0
