,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",335,333,99.40298507462687,45.76502732240437
"[0.8,0.9)",122,115,94.26229508196722,16.666666666666664
"[0.7,0.8)",89,71,79.7752808988764,12.158469945355192
"[0.6,0.7)",67,54,80.59701492537313,9.153005464480875
"[0.5,0.6)",46,31,67.3913043478261,6.284153005464481
"[0.4,0.5)",43,22,51.162790697674424,5.8743169398907105
"[0.3,0.4)",18,8,44.44444444444444,2.459016393442623
"[0.2,0.3)",7,1,14.285714285714285,0.9562841530054645
"[0.1,0.2)",2,1,50.0,0.273224043715847
"(0.0,0.1)",0,0,0.0,0.0
0,3,2,66.66666666666666,0.4098360655737705
Total,732,638,87.1584699453552,100.0
