,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",278,271,97.48201438848922,62.33183856502242
"[0.8,0.9)",54,49,90.74074074074075,12.10762331838565
"[0.7,0.8)",39,33,84.61538461538461,8.74439461883408
"[0.6,0.7)",32,23,71.875,7.174887892376682
"[0.5,0.6)",21,18,85.71428571428571,4.708520179372197
"[0.4,0.5)",13,7,53.84615384615385,2.914798206278027
"[0.3,0.4)",5,4,80.0,1.1210762331838564
"[0.2,0.3)",2,1,50.0,0.4484304932735426
"[0.1,0.2)",0,0,0.0,0.0
"(0.0,0.1)",0,0,0.0,0.0
0,2,1,50.0,0.4484304932735426
Total,446,407,91.25560538116592,100.0
