,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",1745,1673,95.87392550143267,56.29032258064516
"[0.8,0.9)",464,405,87.28448275862068,14.967741935483872
"[0.7,0.8)",287,195,67.94425087108013,9.258064516129032
"[0.6,0.7)",213,140,65.72769953051643,6.870967741935484
"[0.5,0.6)",186,100,53.76344086021505,6.0
"[0.4,0.5)",117,44,37.60683760683761,3.774193548387097
"[0.3,0.4)",49,19,38.775510204081634,1.5806451612903227
"[0.2,0.3)",16,3,18.75,0.5161290322580645
"[0.1,0.2)",11,5,45.45454545454545,0.3548387096774194
"(0.0,0.1)",1,1,100.0,0.03225806451612903
0,11,9,81.81818181818183,0.3548387096774194
Total,3100,2594,83.6774193548387,100.0
