,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",171,167,97.6608187134503,33.011583011583014
"[0.8,0.9)",110,101,91.81818181818183,21.235521235521233
"[0.7,0.8)",58,47,81.03448275862068,11.196911196911197
"[0.6,0.7)",59,38,64.40677966101694,11.389961389961389
"[0.5,0.6)",44,26,59.09090909090909,8.494208494208493
"[0.4,0.5)",33,12,36.36363636363637,6.370656370656371
"[0.3,0.4)",23,11,47.82608695652174,4.440154440154441
"[0.2,0.3)",12,2,16.666666666666664,2.3166023166023164
"[0.1,0.2)",0,0,0.0,0.0
"(0.0,0.1)",2,2,100.0,0.3861003861003861
0,6,3,50.0,1.1583011583011582
Total,518,409,78.95752895752895,100.0
