,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",121,113,93.38842975206612,30.86734693877551
"[0.8,0.9)",68,61,89.70588235294117,17.346938775510203
"[0.7,0.8)",48,41,85.41666666666666,12.244897959183673
"[0.6,0.7)",54,40,74.07407407407408,13.77551020408163
"[0.5,0.6)",50,32,64.0,12.755102040816327
"[0.4,0.5)",30,13,43.333333333333336,7.653061224489796
"[0.3,0.4)",10,3,30.0,2.5510204081632653
"[0.2,0.3)",7,1,14.285714285714285,1.7857142857142856
"[0.1,0.2)",0,0,0.0,0.0
"(0.0,0.1)",1,0,0.0,0.25510204081632654
0,3,1,33.33333333333333,0.7653061224489796
Total,392,305,77.8061224489796,100.0
