,N_in_bin,N_correct,fraction_correct
"[0.9, inf)",7854,7216,91.87675070028011
"[0.8,0.9)",3401,2741,80.59394295795354
"[0.7,0.8)",2474,1725,69.72514147130153
"[0.6,0.7)",2158,1262,58.480074142724746
"[0.5,0.6)",1694,886,52.30224321133412
"[0.4,0.5)",977,434,44.42169907881269
"[0.3,0.4)",452,165,36.50442477876106
"[0.2,0.3)",177,59,33.33333333333333
"[0.1,0.2)",84,22,26.190476190476193
"[0.0,0.1)",11009,5925,53.81960214370061
Total,30280,20435,67.48678996036989
