,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5681,5337,93.94472804083787,28.86686991869919
"[0.8,0.9)",1865,1577,84.55764075067023,9.476626016260163
"[0.7,0.8)",1367,1041,76.1521580102414,6.946138211382113
"[0.6,0.7)",1070,724,67.66355140186916,5.436991869918699
"[0.5,0.6)",892,516,57.847533632286996,4.532520325203252
"[0.4,0.5)",532,250,46.99248120300752,2.703252032520325
"[0.3,0.4)",285,124,43.50877192982456,1.4481707317073171
"[0.2,0.3)",91,30,32.967032967032964,0.4623983739837399
"[0.1,0.2)",29,12,41.37931034482759,0.14735772357723578
"(0.0,0.1)",17,6,35.294117647058826,0.08638211382113821
0,7851,4973,63.34224939498153,39.89329268292683
Total,19680,14590,74.13617886178862,100.0
