,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5511,5239,95.06441662130285,28.003048780487806
"[0.8,0.9)",2593,2234,86.15503278056306,13.17581300813008
"[0.7,0.8)",1874,1440,76.8409818569904,9.522357723577237
"[0.6,0.7)",1511,1029,68.10059563203177,7.6778455284552845
"[0.5,0.6)",1175,687,58.468085106382986,5.970528455284553
"[0.4,0.5)",733,359,48.97680763983629,3.7245934959349594
"[0.3,0.4)",325,129,39.69230769230769,1.6514227642276422
"[0.2,0.3)",132,41,31.060606060606062,0.6707317073170732
"[0.1,0.2)",44,14,31.818181818181817,0.22357723577235775
"(0.0,0.1)",28,11,39.285714285714285,0.14227642276422764
0,5754,3407,59.21098366353841,29.237804878048777
Total,19680,14590,74.13617886178862,100.0
