,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6381,6198,97.13211095439587,56.75026680896478
"[0.8,0.9)",1578,1414,89.60709759188846,14.034151547491996
"[0.7,0.8)",1000,784,78.4,8.893632159373887
"[0.6,0.7)",757,506,66.84280052840158,6.732479544646034
"[0.5,0.6)",616,347,56.33116883116883,5.478477410174315
"[0.4,0.5)",462,209,45.23809523809524,4.108858057630736
"[0.3,0.4)",185,69,37.2972972972973,1.6453219494841693
"[0.2,0.3)",54,17,31.48148148148148,0.48025613660619
"[0.1,0.2)",18,7,38.88888888888889,0.16008537886872998
"(0.0,0.1)",13,4,30.76923076923077,0.11561721807186054
0,180,122,67.77777777777779,1.6008537886872998
Total,11244,9677,86.06367840626112,100.0
