,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6345,6166,97.17888100866824,56.4803275769984
"[0.8,0.9)",1566,1408,89.91060025542784,13.939825529642158
"[0.7,0.8)",979,750,76.60878447395302,8.714616343243724
"[0.6,0.7)",785,542,69.04458598726114,6.987715862560086
"[0.5,0.6)",589,323,54.83870967741935,5.24301228413744
"[0.4,0.5)",461,207,44.90238611713666,4.103614028841019
"[0.3,0.4)",182,71,39.010989010989015,1.6200818942495994
"[0.2,0.3)",53,19,35.84905660377358,0.47178209008367455
"[0.1,0.2)",16,7,43.75,0.1424247819120527
"(0.0,0.1)",12,3,25.0,0.10681858643403952
0,246,180,73.17073170731707,2.18978102189781
Total,11234,9676,86.13138686131386,100.0
