,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6446,6250,96.95935463853552,57.47146932952924
"[0.8,0.9)",1409,1257,89.21220723917672,12.562410841654778
"[0.7,0.8)",927,691,74.54153182308522,8.264978601997147
"[0.6,0.7)",687,459,66.8122270742358,6.125178316690443
"[0.5,0.6)",554,304,54.87364620938629,4.939372325249644
"[0.4,0.5)",413,181,43.82566585956417,3.6822396576319543
"[0.3,0.4)",163,61,37.423312883435585,1.453281027104137
"[0.2,0.3)",51,20,39.21568627450981,0.45470756062767476
"[0.1,0.2)",19,7,36.84210526315789,0.1694008559201141
"(0.0,0.1)",13,6,46.15384615384615,0.11590584878744652
0,534,405,75.84269662921348,4.761055634807418
Total,11216,9641,85.95756062767475,100.0
