,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6352,6175,97.21347607052897,56.54263841908492
"[0.8,0.9)",1594,1431,89.77415307402761,14.18906889798825
"[0.7,0.8)",978,753,76.99386503067484,8.705714794374222
"[0.6,0.7)",781,540,69.14212548015365,6.952109667082072
"[0.5,0.6)",623,346,55.53772070626003,5.545664945700552
"[0.4,0.5)",469,212,45.20255863539446,4.174826419797045
"[0.3,0.4)",187,71,37.967914438502675,1.6645896385971157
"[0.2,0.3)",54,19,35.18518518518518,0.48068363895317784
"[0.1,0.2)",18,7,38.88888888888889,0.16022787965105928
"(0.0,0.1)",10,5,50.0,0.08901548869503294
0,168,117,69.64285714285714,1.4954602100765535
Total,11234,9676,86.13138686131386,100.0
