,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6358,6180,97.2003774771941,56.54571326929918
"[0.8,0.9)",1567,1404,89.59795788130185,13.936321593738882
"[0.7,0.8)",983,764,77.72126144455747,8.742440412664532
"[0.6,0.7)",756,503,66.53439153439153,6.7235859124866595
"[0.5,0.6)",595,331,55.63025210084034,5.291711134827463
"[0.4,0.5)",452,203,44.911504424778755,4.019921736036998
"[0.3,0.4)",183,70,38.25136612021858,1.6275346851654215
"[0.2,0.3)",48,17,35.41666666666667,0.42689434364994666
"[0.1,0.2)",18,7,38.88888888888889,0.16008537886872998
"(0.0,0.1)",14,3,21.428571428571427,0.12451085023123443
0,270,195,72.22222222222221,2.40128068303095
Total,11244,9677,86.06367840626112,100.0
