,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6336,6157,97.17487373737373,56.490727532097004
"[0.8,0.9)",1585,1424,89.8422712933754,14.131597717546363
"[0.7,0.8)",982,763,77.69857433808554,8.755349500713267
"[0.6,0.7)",768,535,69.66145833333334,6.847360912981455
"[0.5,0.6)",625,340,54.400000000000006,5.5723965763195435
"[0.4,0.5)",466,203,43.56223175965665,4.154778887303852
"[0.3,0.4)",193,69,35.751295336787564,1.720756062767475
"[0.2,0.3)",60,21,35.0,0.5349500713266762
"[0.1,0.2)",18,6,33.33333333333333,0.16048502139800286
"(0.0,0.1)",11,5,45.45454545454545,0.09807417974322397
0,172,118,68.6046511627907,1.5335235378031382
Total,11216,9641,85.95756062767475,100.0
