,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5502,5243,95.29262086513995,46.67458432304038
"[0.8,0.9)",1656,1439,86.89613526570048,14.048184594502885
"[0.7,0.8)",1085,827,76.22119815668202,9.204275534441805
"[0.6,0.7)",808,569,70.42079207920791,6.8544282321004415
"[0.5,0.6)",665,377,56.69172932330827,5.641330166270784
"[0.4,0.5)",433,194,44.80369515011547,3.673227010519172
"[0.3,0.4)",168,51,30.357142857142854,1.4251781472684086
"[0.2,0.3)",65,12,18.461538461538463,0.5514082117407534
"[0.1,0.2)",12,5,41.66666666666667,0.10179843909060061
"(0.0,0.1)",7,6,85.71428571428571,0.05938242280285036
0,1387,996,71.80966113914924,11.76620291822192
Total,11788,9719,82.44825246012894,100.0
