,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5421,5169,95.35141117874932,45.646682384641295
"[0.8,0.9)",1639,1433,87.43136058572301,13.800943078477601
"[0.7,0.8)",1048,797,76.04961832061069,8.82452004041765
"[0.6,0.7)",803,566,70.4856787048568,6.761535870663524
"[0.5,0.6)",679,366,53.90279823269514,5.717413270461435
"[0.4,0.5)",431,189,43.851508120649655,3.6291680700572586
"[0.3,0.4)",168,55,32.73809523809524,1.4146177164028293
"[0.2,0.3)",62,8,12.903225806451612,0.5220613001010441
"[0.1,0.2)",13,6,46.15384615384615,0.10946446615021893
"(0.0,0.1)",5,3,60.0,0.0421017177500842
0,1607,1142,71.06409458618543,13.531492084877064
Total,11876,9734,81.96362411586394,100.0
