,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5735,5416,94.43766346992153,48.85008517887564
"[0.8,0.9)",1366,1183,86.60322108345534,11.635434412265758
"[0.7,0.8)",902,673,74.6119733924612,7.683134582623509
"[0.6,0.7)",687,473,68.85007278020379,5.851788756388416
"[0.5,0.6)",576,324,56.25,4.9063032367972745
"[0.4,0.5)",327,143,43.730886850152906,2.7853492333901193
"[0.3,0.4)",132,44,33.33333333333333,1.1243611584327087
"[0.2,0.3)",40,5,12.5,0.34071550255536626
"[0.1,0.2)",12,8,66.66666666666666,0.10221465076660989
"(0.0,0.1)",8,7,87.5,0.06814310051107325
0,1955,1427,72.9923273657289,16.652470187393526
Total,11740,9703,82.64906303236798,100.0
