,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5545,5276,95.14878268710551,47.23168654173765
"[0.8,0.9)",1590,1391,87.48427672955975,13.543441226575808
"[0.7,0.8)",1034,780,75.43520309477756,8.807495741056218
"[0.6,0.7)",794,570,71.78841309823679,6.76320272572402
"[0.5,0.6)",652,371,56.901840490797554,5.5536626916524705
"[0.4,0.5)",416,181,43.50961538461539,3.5434412265758093
"[0.3,0.4)",161,50,31.05590062111801,1.3713798977853493
"[0.2,0.3)",54,9,16.666666666666664,0.45996592844974443
"[0.1,0.2)",13,3,23.076923076923077,0.11073253833049404
"(0.0,0.1)",8,6,75.0,0.06814310051107325
0,1473,1066,72.36931432450781,12.546848381601365
Total,11740,9703,82.64906303236798,100.0
