,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5708,5390,94.42887175893483,48.063320983496126
"[0.8,0.9)",1334,1149,86.13193403298351,11.232738295722465
"[0.7,0.8)",922,685,74.29501084598698,7.763556753115528
"[0.6,0.7)",654,446,68.19571865443424,5.506904681711014
"[0.5,0.6)",582,317,54.46735395189003,4.900639946109801
"[0.4,0.5)",331,140,42.296072507552864,2.787133715055574
"[0.3,0.4)",120,42,35.0,1.0104412260020208
"[0.2,0.3)",48,10,20.833333333333336,0.40417649040080833
"[0.1,0.2)",11,6,54.54545454545454,0.09262377905018525
"(0.0,0.1)",6,3,50.0,0.05052206130010104
0,2160,1546,71.57407407407408,18.187942068036374
Total,11876,9734,81.96362411586394,100.0
