,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6476,6285,97.05064854848672,57.64643047890333
"[0.8,0.9)",1421,1263,88.881069669247,12.649100943564179
"[0.7,0.8)",908,679,74.77973568281938,8.082606373508991
"[0.6,0.7)",717,483,67.36401673640168,6.382410539433861
"[0.5,0.6)",551,300,54.44646098003629,4.904753427096314
"[0.4,0.5)",414,182,43.96135265700483,3.6852412319743637
"[0.3,0.4)",154,67,43.506493506493506,1.3708385259035072
"[0.2,0.3)",48,17,35.41666666666667,0.4272743457361581
"[0.1,0.2)",17,9,52.94117647058824,0.151326330781556
"(0.0,0.1)",12,5,41.66666666666667,0.10681858643403952
0,516,386,74.8062015503876,4.5931992166637
Total,11234,9676,86.13138686131386,100.0
