,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6313,6140,97.2596230001584,56.28566333808844
"[0.8,0.9)",1572,1408,89.56743002544529,14.015691868758918
"[0.7,0.8)",973,746,76.67009249743063,8.675106990014266
"[0.6,0.7)",765,536,70.06535947712418,6.820613409415122
"[0.5,0.6)",604,329,54.47019867549668,5.385164051355207
"[0.4,0.5)",459,196,42.70152505446623,4.0923680456490725
"[0.3,0.4)",190,69,36.31578947368421,1.6940085592011414
"[0.2,0.3)",52,19,36.53846153846153,0.46362339514978607
"[0.1,0.2)",18,7,38.88888888888889,0.16048502139800286
"(0.0,0.1)",11,3,27.27272727272727,0.09807417974322397
0,259,188,72.58687258687259,2.3092011412268185
Total,11216,9641,85.95756062767475,100.0
