,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6500,6303,96.96923076923078,57.80860903593027
"[0.8,0.9)",1409,1255,89.07026259758695,12.531127712557808
"[0.7,0.8)",930,700,75.26881720430107,8.271077908217716
"[0.6,0.7)",703,459,65.29160739687056,6.2522234080398436
"[0.5,0.6)",541,299,55.26802218114602,4.811454998221273
"[0.4,0.5)",402,182,45.27363184079602,3.575240128068303
"[0.3,0.4)",160,65,40.625,1.4229811454998222
"[0.2,0.3)",50,17,34.0,0.4446816079686944
"[0.1,0.2)",16,6,37.5,0.1422981145499822
"(0.0,0.1)",11,5,45.45454545454545,0.09782995375311276
0,522,386,73.9463601532567,4.64247598719317
Total,11244,9677,86.06367840626112,100.0
