,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8155,7946,97.43715511955855,60.930962343096226
"[0.8,0.9)",1499,1340,89.39292861907938,11.19994022713688
"[0.7,0.8)",922,719,77.9826464208243,6.888822474596533
"[0.6,0.7)",706,479,67.84702549575071,5.274955170352659
"[0.5,0.6)",573,336,58.63874345549738,4.281231320980275
"[0.4,0.5)",325,159,48.92307692307693,2.428272564255828
"[0.3,0.4)",192,73,38.02083333333333,1.434548714883443
"[0.2,0.3)",95,26,27.368421052631582,0.7098027495517035
"[0.1,0.2)",21,5,23.809523809523807,0.15690376569037656
"(0.0,0.1)",12,8,66.66666666666666,0.08965929468021519
0,884,719,81.33484162895928,6.604901374775851
Total,13384,11810,88.23968918111179,100.0
