,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8258,8013,97.03317994671833,61.78363010623972
"[0.8,0.9)",1326,1162,87.63197586726999,9.920694298967529
"[0.7,0.8)",844,671,79.50236966824644,6.314529402962742
"[0.6,0.7)",626,425,67.89137380191693,4.6835253628609905
"[0.5,0.6)",490,281,57.3469387755102,3.6660182552745773
"[0.4,0.5)",305,130,42.62295081967213,2.2819093221607063
"[0.3,0.4)",180,78,43.333333333333336,1.3467005835702528
"[0.2,0.3)",59,24,40.67796610169492,0.441418524614694
"[0.1,0.2)",15,6,40.0,0.1122250486308544
"(0.0,0.1)",16,8,50.0,0.11970671853957804
0,1247,1011,81.07457898957497,9.329642376178363
Total,13366,11809,88.35103995211732,100.0
