,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8202,7952,96.95196293586929,61.35547576301615
"[0.8,0.9)",1336,1178,88.17365269461078,9.994015559545183
"[0.7,0.8)",822,647,78.71046228710462,6.149012567324955
"[0.6,0.7)",638,438,68.65203761755487,4.7725912627169365
"[0.5,0.6)",473,271,57.2938689217759,3.5383004189108314
"[0.4,0.5)",285,133,46.666666666666664,2.131956912028725
"[0.3,0.4)",163,58,35.58282208588957,1.2193297426690606
"[0.2,0.3)",57,21,36.84210526315789,0.4263913824057451
"[0.1,0.2)",15,7,46.666666666666664,0.11220825852782765
"(0.0,0.1)",16,10,62.5,0.11968880909634949
0,1361,1088,79.94121969140338,10.181029323758228
Total,13368,11803,88.29293836026332,100.0
