,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8209,7998,97.42965038372517,61.40783961699581
"[0.8,0.9)",1487,1319,88.70208473436449,11.12357869539198
"[0.7,0.8)",903,712,78.8482834994463,6.754937163375224
"[0.6,0.7)",705,475,67.37588652482269,5.273788150807899
"[0.5,0.6)",547,319,58.3180987202925,4.091861160981448
"[0.4,0.5)",317,154,48.580441640378545,2.371334530221424
"[0.3,0.4)",193,64,33.160621761658035,1.4437462597247157
"[0.2,0.3)",77,23,29.87012987012987,0.5760023937761819
"[0.1,0.2)",25,8,32.0,0.18701376421304608
"(0.0,0.1)",16,10,62.5,0.11968880909634949
0,889,721,81.10236220472441,6.650209455415919
Total,13368,11803,88.29293836026332,100.0
