,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8156,7944,97.40068661108387,60.93843395098625
"[0.8,0.9)",1465,1303,88.9419795221843,10.945905558876271
"[0.7,0.8)",905,704,77.79005524861878,6.761805140466229
"[0.6,0.7)",697,470,67.43185078909613,5.207710699342498
"[0.5,0.6)",545,322,59.082568807339456,4.072026300059773
"[0.4,0.5)",309,155,50.161812297734635,2.308726838015541
"[0.3,0.4)",190,66,34.73684210526316,1.419605499103407
"[0.2,0.3)",87,26,29.88505747126437,0.6500298864315601
"[0.1,0.2)",18,5,27.77777777777778,0.13448894202032277
"(0.0,0.1)",15,9,60.0,0.11207411835026898
0,997,806,80.84252758274825,7.4491930663478785
Total,13384,11810,88.23968918111179,100.0
