,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7583,6938,91.49413161018066,25.9176977236995
"[0.8,0.9)",2472,1966,79.53074433656958,8.448971221546243
"[0.7,0.8)",1797,1265,70.39510294936005,6.141909904983253
"[0.6,0.7)",1500,913,60.86666666666667,5.126802925695536
"[0.5,0.6)",1207,634,52.52692626346314,4.125367420876342
"[0.4,0.5)",718,313,43.5933147632312,2.4540296670995967
"[0.3,0.4)",359,131,36.49025069637883,1.2270148335497983
"[0.2,0.3)",131,39,29.770992366412212,0.4477407888440768
"[0.1,0.2)",61,22,36.0655737704918,0.2084899856449518
"(0.0,0.1)",29,15,51.724137931034484,0.09911818989678037
0,13401,7922,59.11499141855086,45.802857338163925
Total,29258,20158,68.89739558411375,100.0
