,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7458,6803,91.21748458031644,24.63011889035667
"[0.8,0.9)",2422,1908,78.77786952931461,7.998678996036988
"[0.7,0.8)",1715,1185,69.09620991253644,5.663804491413474
"[0.6,0.7)",1464,869,59.35792349726776,4.834874504623514
"[0.5,0.6)",1185,612,51.64556962025316,3.9134742404227216
"[0.4,0.5)",707,296,41.86704384724187,2.3348745046235138
"[0.3,0.4)",350,134,38.285714285714285,1.1558784676354028
"[0.2,0.3)",143,47,32.86713286713287,0.4722589167767503
"[0.1,0.2)",43,11,25.581395348837212,0.14200792602377807
"(0.0,0.1)",31,13,41.935483870967744,0.1023778071334214
0,14762,8557,57.9664002167728,48.751651254953764
Total,30280,20435,67.48678996036989,100.0
