,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7935,7327,92.33774417139257,26.205416116248347
"[0.8,0.9)",3825,3088,80.73202614379085,12.632100396301189
"[0.7,0.8)",2802,1928,68.807994289793,9.253632760898283
"[0.6,0.7)",2395,1392,58.121085594989566,7.909511228533686
"[0.5,0.6)",1919,1001,52.162584679520585,6.337516512549538
"[0.4,0.5)",1100,476,43.27272727272727,3.632760898282695
"[0.3,0.4)",504,192,38.095238095238095,1.66446499339498
"[0.2,0.3)",195,63,32.30769230769231,0.6439894319682958
"[0.1,0.2)",86,22,25.581395348837212,0.28401585204755614
"(0.0,0.1)",37,15,40.54054054054054,0.12219286657859975
0,9482,4931,52.00379666736975,31.31439894319683
Total,30280,20435,67.48678996036989,100.0
