,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7816,7199,92.1059365404299,26.71406111149087
"[0.8,0.9)",3471,2829,81.50388936905792,11.86342197005947
"[0.7,0.8)",2504,1774,70.84664536741214,8.558343017294415
"[0.6,0.7)",2150,1304,60.651162790697676,7.348417526830269
"[0.5,0.6)",1725,896,51.94202898550725,5.895823364549867
"[0.4,0.5)",969,437,45.09803921568628,3.3119146899993166
"[0.3,0.4)",446,173,38.789237668161434,1.5243694032401394
"[0.2,0.3)",185,58,31.351351351351354,0.6323056941691161
"[0.1,0.2)",90,26,28.888888888888886,0.30760817554173214
"(0.0,0.1)",39,20,51.28205128205128,0.13329687606808394
0,9863,5442,55.175909966541624,33.71043817075672
Total,29258,20158,68.89739558411375,100.0
