,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7052,6857,97.23482699943278,59.440323668240055
"[0.8,0.9)",1359,1220,89.77189109639441,11.454821308159136
"[0.7,0.8)",827,672,81.25755743651753,6.970667565745112
"[0.6,0.7)",616,441,71.5909090909091,5.192178017532029
"[0.5,0.6)",543,344,63.35174953959485,4.576871207012812
"[0.4,0.5)",280,147,52.5,2.3600809170600137
"[0.3,0.4)",130,61,46.92307692307692,1.0957518543492921
"[0.2,0.3)",44,10,22.727272727272727,0.37086985839514497
"[0.1,0.2)",10,6,60.0,0.08428860418071477
"(0.0,0.1)",15,8,53.333333333333336,0.12643290627107215
0,988,634,64.17004048582996,8.32771409305462
Total,11864,10400,87.66014834794336,100.0
