,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6943,6776,97.5946996975371,59.331738164416336
"[0.8,0.9)",1586,1432,90.29003783102144,13.553238762604684
"[0.7,0.8)",962,783,81.39293139293139,8.220816954366775
"[0.6,0.7)",746,557,74.66487935656836,6.374978636130576
"[0.5,0.6)",578,361,62.45674740484429,4.939326610835755
"[0.4,0.5)",351,181,51.566951566951566,2.9994872671338233
"[0.3,0.4)",152,68,44.73684210526316,1.2989232609810288
"[0.2,0.3)",54,12,22.22222222222222,0.4614595795590497
"[0.1,0.2)",11,6,54.54545454545454,0.09400102546573236
"(0.0,0.1)",12,4,33.33333333333333,0.10254657323534438
0,307,185,60.26058631921825,2.623483165270894
Total,11702,10365,88.57460263202871,100.0
