,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6953,6780,97.51186538184956,59.417193642112466
"[0.8,0.9)",1526,1372,89.90825688073394,13.040505896427963
"[0.7,0.8)",940,781,83.08510638297872,8.03281490343531
"[0.6,0.7)",709,516,72.77856135401974,6.058793368654931
"[0.5,0.6)",565,352,62.30088495575221,4.828234489830798
"[0.4,0.5)",340,175,51.470588235294116,2.905486241668091
"[0.3,0.4)",143,62,43.35664335664335,1.2220133310545205
"[0.2,0.3)",50,10,20.0,0.42727738848060165
"[0.1,0.2)",13,6,46.15384615384615,0.11109212100495641
"(0.0,0.1)",10,4,40.0,0.08545547769612033
0,453,307,67.77041942604856,3.8711331396342503
Total,11702,10365,88.57460263202871,100.0
