,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7095,6906,97.33615221987316,60.547875064004096
"[0.8,0.9)",1358,1218,89.69072164948454,11.589008363201913
"[0.7,0.8)",834,686,82.25419664268586,7.117255504352278
"[0.6,0.7)",618,442,71.52103559870551,5.273937532002048
"[0.5,0.6)",520,324,62.30769230769231,4.437617340843147
"[0.4,0.5)",260,126,48.46153846153846,2.2188086704215735
"[0.3,0.4)",131,52,39.69465648854962,1.1179382147124082
"[0.2,0.3)",42,15,35.714285714285715,0.35842293906810035
"[0.1,0.2)",11,6,54.54545454545454,0.0938726745178358
"(0.0,0.1)",17,8,47.05882352941176,0.14507595152756442
0,832,573,68.8701923076923,7.100187745349036
Total,11718,10356,88.37685611879161,100.0
