,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6749,6577,97.45147429248777,56.8863789615644
"[0.8,0.9)",1534,1388,90.48239895697523,12.929871881321645
"[0.7,0.8)",987,824,83.48530901722391,8.319285232636547
"[0.6,0.7)",707,498,70.43847241867044,5.959204315576534
"[0.5,0.6)",574,371,64.63414634146342,4.838165879973028
"[0.4,0.5)",354,186,52.54237288135594,2.983816587997303
"[0.3,0.4)",145,64,44.13793103448276,1.2221847606203642
"[0.2,0.3)",48,11,22.916666666666664,0.4045853000674309
"[0.1,0.2)",15,7,46.666666666666664,0.12643290627107215
"(0.0,0.1)",11,4,36.36363636363637,0.09271746459878624
0,740,470,63.51351351351351,6.237356709372892
Total,11864,10400,87.66014834794336,100.0
