,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8238,8024,97.4022821073076,61.62477558348295
"[0.8,0.9)",1513,1348,89.09451421017846,11.31807301017355
"[0.7,0.8)",921,732,79.47882736156352,6.8895870736086176
"[0.6,0.7)",717,487,67.92189679218968,5.363554757630162
"[0.5,0.6)",563,319,56.6607460035524,4.211549970077797
"[0.4,0.5)",324,161,49.691358024691354,2.423698384201077
"[0.3,0.4)",203,68,33.497536945812804,1.518551765409934
"[0.2,0.3)",100,32,32.0,0.7480550568521843
"[0.1,0.2)",23,5,21.73913043478261,0.1720526630760024
"(0.0,0.1)",17,9,52.94117647058824,0.12716935966487133
0,749,618,82.51001335113484,5.60293237582286
Total,13368,11803,88.29293836026332,100.0
