,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8263,8051,97.43434587922061,61.82103845578333
"[0.8,0.9)",1473,1302,88.39103869653768,11.020499775549903
"[0.7,0.8)",915,725,79.23497267759562,6.845727966482119
"[0.6,0.7)",692,478,69.07514450867052,5.17731557683675
"[0.5,0.6)",552,310,56.15942028985508,4.1298817896154425
"[0.4,0.5)",319,151,47.33542319749217,2.386652700882837
"[0.3,0.4)",213,82,38.497652582159624,1.5935956905581325
"[0.2,0.3)",82,25,30.48780487804878,0.6134969325153374
"[0.1,0.2)",25,7,28.000000000000004,0.18704174771809068
"(0.0,0.1)",15,10,66.66666666666666,0.1122250486308544
0,817,668,81.7625458996328,6.112524315427203
Total,13366,11809,88.35103995211732,100.0
