,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8258,8048,97.45701138290143,61.78363010623972
"[0.8,0.9)",1510,1344,89.00662251655629,11.297321562172677
"[0.7,0.8)",929,740,79.65554359526372,6.9504713452042495
"[0.6,0.7)",719,496,68.9847009735744,5.379320664372288
"[0.5,0.6)",556,312,56.11510791366906,4.159808469250336
"[0.4,0.5)",346,159,45.95375722543353,2.588657788418375
"[0.3,0.4)",212,81,38.20754716981132,1.5861140206494089
"[0.2,0.3)",96,29,30.208333333333332,0.7182403112374682
"[0.1,0.2)",23,4,17.391304347826086,0.1720784079006434
"(0.0,0.1)",17,9,52.94117647058824,0.12718838844830166
0,700,587,83.85714285714285,5.237168936106539
Total,13366,11809,88.35103995211732,100.0
