,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",8127,7872,96.86231081579919,60.721757322175726
"[0.8,0.9)",1314,1153,87.74733637747336,9.817692767483562
"[0.7,0.8)",818,647,79.09535452322739,6.111775254034669
"[0.6,0.7)",612,409,66.83006535947712,4.572624028690974
"[0.5,0.6)",487,289,59.34291581108829,3.638673042438733
"[0.4,0.5)",285,135,47.368421052631575,2.129408248655111
"[0.3,0.4)",165,60,36.36363636363637,1.2328153018529586
"[0.2,0.3)",50,18,36.0,0.3735803945008966
"[0.1,0.2)",15,7,46.666666666666664,0.11207411835026898
"(0.0,0.1)",17,10,58.82352941176471,0.12701733413030483
0,1494,1210,80.99062918340026,11.16258218768679
Total,13384,11810,88.23968918111179,100.0
