,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7854,7216,91.87675070028011,25.93791281373844
"[0.8,0.9)",3401,2741,80.59394295795354,11.231836195508587
"[0.7,0.8)",2474,1725,69.72514147130153,8.170409511228534
"[0.6,0.7)",2158,1262,58.480074142724746,7.126816380449141
"[0.5,0.6)",1694,886,52.30224321133412,5.594451783355351
"[0.4,0.5)",977,434,44.42169907881269,3.226552179656539
"[0.3,0.4)",452,165,36.50442477876106,1.4927344782034346
"[0.2,0.3)",177,59,33.33333333333333,0.584544253632761
"[0.1,0.2)",84,22,26.190476190476193,0.2774108322324967
"(0.0,0.1)",45,19,42.22222222222222,0.1486129458388375
0,10964,5906,53.8672017511857,36.20871862615588
Total,30280,20435,67.48678996036989,100.0
