,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7787,7161,91.96096057531784,25.892797765511737
"[0.8,0.9)",3425,2774,80.99270072992701,11.388574848706524
"[0.7,0.8)",2478,1719,69.37046004842615,8.239675467180954
"[0.6,0.7)",2157,1275,59.109874826147426,7.172308306178094
"[0.5,0.6)",1662,860,51.74488567990373,5.5263682915475165
"[0.4,0.5)",983,441,44.86266531027467,3.2686041098623395
"[0.3,0.4)",464,172,37.06896551724138,1.5428609430072489
"[0.2,0.3)",185,61,32.972972972972975,0.6151492983972867
"[0.1,0.2)",79,18,22.78481012658228,0.26268537607235487
"(0.0,0.1)",43,17,39.53488372093023,0.14298064773558555
0,10811,5878,54.37054851540098,35.94799494580036
Total,30074,20376,67.75287623861142,100.0
