,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7869,7272,92.41326725123903,26.165458535612157
"[0.8,0.9)",3817,3091,80.97982708933718,12.692026335040236
"[0.7,0.8)",2833,1964,69.32580303565126,9.420097093835206
"[0.6,0.7)",2405,1393,57.92099792099792,7.996940879164727
"[0.5,0.6)",1878,982,52.28966986155484,6.244596661568131
"[0.4,0.5)",1114,491,44.0754039497307,3.7041963157544724
"[0.3,0.4)",499,171,34.2685370741483,1.6592405400013301
"[0.2,0.3)",203,78,38.42364532019704,0.6750016625656713
"[0.1,0.2)",83,20,24.096385542168676,0.275985901443107
"(0.0,0.1)",35,15,42.857142857142854,0.11637959699408126
0,9338,4899,52.463054187192114,31.050076478020884
Total,30074,20376,67.75287623861142,100.0
