,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7829,7249,92.591646442713,26.758493403513565
"[0.8,0.9)",3809,3108,81.59621948017852,13.01866156264953
"[0.7,0.8)",2841,1998,70.3273495248152,9.710164741267345
"[0.6,0.7)",2403,1424,59.25925925925925,8.213138286964249
"[0.5,0.6)",1874,983,52.45464247598719,6.405085788502291
"[0.4,0.5)",1094,503,45.9780621572212,3.7391482671406107
"[0.3,0.4)",504,184,36.507936507936506,1.7226057830337003
"[0.2,0.3)",200,70,35.0,0.6835737234260715
"[0.1,0.2)",74,19,25.675675675675674,0.25292227766764647
"(0.0,0.1)",38,16,42.10526315789473,0.1298790074509536
0,8592,4604,53.58472998137802,29.36632715838403
Total,29258,20158,68.89739558411375,100.0
