,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7426,6771,91.17963910584433,24.692425350801354
"[0.8,0.9)",2439,1913,78.43378433784338,8.10999534481612
"[0.7,0.8)",1718,1205,70.13969732246798,5.712575646738046
"[0.6,0.7)",1470,885,60.204081632653065,4.887943073751414
"[0.5,0.6)",1172,600,51.19453924914675,3.897053933630378
"[0.4,0.5)",713,306,42.91725105189341,2.3708186473365696
"[0.3,0.4)",357,136,38.095238095238095,1.187071889339629
"[0.2,0.3)",140,42,30.0,0.46551838797632505
"[0.1,0.2)",43,13,30.23255813953488,0.14298064773558555
"(0.0,0.1)",32,15,46.875,0.10640420296601716
0,14564,8490,58.294424608624006,48.42721287490856
Total,30074,20376,67.75287623861142,100.0
