,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6799,6633,97.5584644800706,57.30782198246796
"[0.8,0.9)",1511,1361,90.0727994705493,12.736008091706003
"[0.7,0.8)",942,787,83.54564755838642,7.939986513823332
"[0.6,0.7)",694,489,70.46109510086455,5.849629130141605
"[0.5,0.6)",568,361,63.556338028169016,4.787592717464599
"[0.4,0.5)",337,181,53.70919881305638,2.8405259608900875
"[0.3,0.4)",149,67,44.966442953020135,1.25590020229265
"[0.2,0.3)",46,11,23.91304347826087,0.3877275792312879
"[0.1,0.2)",17,6,35.294117647058826,0.1432906271072151
"(0.0,0.1)",14,4,28.57142857142857,0.11800404585300067
0,787,500,63.53240152477764,6.633513149022252
Total,11864,10400,87.66014834794336,100.0
