,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",6945,6771,97.49460043196544,59.26779313876088
"[0.8,0.9)",1518,1368,90.11857707509881,12.954429083461342
"[0.7,0.8)",948,785,82.80590717299579,8.090117767537123
"[0.6,0.7)",696,505,72.5574712643678,5.939580133128521
"[0.5,0.6)",558,365,65.41218637992831,4.761904761904762
"[0.4,0.5)",325,159,48.92307692307693,2.7735108380269673
"[0.3,0.4)",145,54,37.24137931034483,1.2374125277351085
"[0.2,0.3)",49,14,28.57142857142857,0.4181600955794504
"[0.1,0.2)",14,6,42.857142857142854,0.11947431302270012
"(0.0,0.1)",15,4,26.666666666666668,0.12800819252432155
0,505,325,64.35643564356435,4.309609148318826
Total,11718,10356,88.37685611879161,100.0
