,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",7197,7010,97.40169515075726,61.502307297897794
"[0.8,0.9)",1383,1239,89.587852494577,11.818492565373441
"[0.7,0.8)",855,697,81.52046783625731,7.306443343018287
"[0.6,0.7)",626,441,70.44728434504792,5.349512903777132
"[0.5,0.6)",525,326,62.095238095238095,4.486412579046317
"[0.4,0.5)",287,148,51.56794425087108,2.452572209878653
"[0.3,0.4)",128,54,42.1875,1.0938301145103402
"[0.2,0.3)",44,10,22.727272727272727,0.37600410186292943
"[0.1,0.2)",13,7,53.84615384615385,0.11109212100495641
"(0.0,0.1)",14,8,57.14285714285714,0.11963766877456845
0,630,425,67.46031746031747,5.383695094855581
Total,11702,10365,88.57460263202871,100.0
