,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5741,5414,94.3041282006619,48.70206990159484
"[0.8,0.9)",1355,1171,86.42066420664206,11.494740413980319
"[0.7,0.8)",913,680,74.47973713033954,7.745164574143197
"[0.6,0.7)",665,459,69.02255639097744,5.641330166270784
"[0.5,0.6)",585,328,56.06837606837607,4.9626739056667795
"[0.4,0.5)",342,147,42.98245614035088,2.9012555140821172
"[0.3,0.4)",119,40,33.61344537815126,1.009501187648456
"[0.2,0.3)",46,11,23.91304347826087,0.39022734984730234
"[0.1,0.2)",8,4,50.0,0.0678656260604004
"(0.0,0.1)",8,4,50.0,0.0678656260604004
0,2006,1461,72.83150548354935,17.0173057346454
Total,11788,9719,82.44825246012894,100.0
