,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5496,5237,95.28748180494905,46.81431005110733
"[0.8,0.9)",1661,1447,87.11619506321493,14.148211243611582
"[0.7,0.8)",1058,810,76.55954631379961,9.011925042589437
"[0.6,0.7)",820,586,71.46341463414633,6.984667802385008
"[0.5,0.6)",679,386,56.84830633284241,5.783645655877343
"[0.4,0.5)",440,194,44.09090909090909,3.747870528109029
"[0.3,0.4)",167,52,31.137724550898206,1.422487223168654
"[0.2,0.3)",58,9,15.517241379310345,0.4940374787052811
"[0.1,0.2)",12,4,33.33333333333333,0.10221465076660989
"(0.0,0.1)",7,4,57.14285714285714,0.0596252129471891
0,1342,974,72.57824143070046,11.431005110732539
Total,11740,9703,82.64906303236798,100.0
