,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5449,5186,95.17342631675537,45.88245200404176
"[0.8,0.9)",1589,1387,87.28760226557584,13.37992590097676
"[0.7,0.8)",1008,756,75.0,8.487706298416974
"[0.6,0.7)",793,565,71.2484237074401,6.677332435163355
"[0.5,0.6)",636,341,53.61635220125787,5.355338497810711
"[0.4,0.5)",419,183,43.67541766109785,3.5281239474570563
"[0.3,0.4)",151,49,32.450331125827816,1.271471876052543
"[0.2,0.3)",58,7,12.068965517241379,0.4883799259009768
"[0.1,0.2)",11,6,54.54545454545454,0.09262377905018525
"(0.0,0.1)",7,3,42.857142857142854,0.05894240485011788
0,1755,1251,71.28205128205128,14.777702930279554
Total,11876,9734,81.96362411586394,100.0
