,N_in_bin,N_correct,Precision,percentage
"[0.9, 1.0]",5465,5198,95.11436413540714,46.36070580251103
"[0.8,0.9)",1583,1376,86.92356285533796,13.42891075670173
"[0.7,0.8)",1018,770,75.6385068762279,8.635900916185951
"[0.6,0.7)",773,553,71.53945666235447,6.5575161180861885
"[0.5,0.6)",642,364,56.69781931464174,5.4462164913471325
"[0.4,0.5)",425,183,43.05882352941177,3.6053613844587717
"[0.3,0.4)",149,46,30.87248322147651,1.2639972853749575
"[0.2,0.3)",59,10,16.94915254237288,0.500508992195453
"[0.1,0.2)",10,5,50.0,0.08483203257550051
"(0.0,0.1)",6,3,50.0,0.05089921954530031
0,1658,1211,73.03980699638119,14.065151001017984
Total,11788,9719,82.44825246012894,100.0
